episode,phase,step0_tool,reward,success,top_patterns
338,Pattern Extraction,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.084
339,Pattern Extraction,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
340,Pattern Extraction,standard,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
341,Pattern Extraction,standard,-1.0,0,re.findall:0.073|re.findall:0.073|re.findall:0.072
342,Pattern Extraction,standard,-1.0,0,re.findall:0.083|re.findall:0.077|re.findall:0.075
343,Pattern Extraction,standard,-1.0,0,re.findall:0.090|re.findall:0.084|re.findall:0.082
344,Pattern Extraction,standard,-1.0,0,re.findall:0.098|re.findall:0.089|re.findall:0.085
345,Pattern Extraction,standard,-1.0,0,re.findall:0.117|re.findall:0.088|re.findall:0.086
346,Pattern Extraction,standard,1.0,1,re.findall:0.117|re.findall:0.100|re.findall:0.088
347,Pattern Extraction,standard,1.0,1,re.findall:0.117|re.findall:0.100|re.findall:0.100
348,Pattern Extraction,standard,-1.0,0,re.findall:0.118|re.findall:0.087|re.findall:0.083
349,Pattern Extraction,standard,-1.0,0,re.findall:0.139|re.findall:0.102|re.findall:0.087
350,Pattern Extraction,standard,-1.0,0,re.findall:0.163|re.findall:0.120|re.findall:0.087
351,Pattern Extraction,standard,-1.0,0,re.findall:0.180|re.findall:0.145|re.findall:0.086
352,Pattern Extraction,standard,-1.0,0,re.findall:0.195|re.findall:0.172|re.findall:0.083
353,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
354,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
355,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
356,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
357,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
358,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
359,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
360,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
361,Pattern Extraction,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
362,Linguistic Analysis,standard,1.0,1,re.findall:0.195|re.findall:0.172|re.findall:0.100
363,Linguistic Analysis,standard,-1.0,0,re.findall:0.098|re.findall:0.098|re.findall:0.053
364,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|re.findall:0.098|re.findall:0.098
365,Linguistic Analysis,standard,-1.0,0,re.findall:0.099|re.findall:0.082|textblob.TextBlob:0.060
366,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|re.findall:0.099|re.findall:0.082
367,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|re.findall:0.099
368,Linguistic Analysis,standard,-1.0,0,re.findall:0.092|textblob.TextBlob:0.063|re.findall:0.062
369,Linguistic Analysis,standard,-1.0,0,re.findall:0.096|re.findall:0.072|re.findall:0.070
370,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|re.findall:0.096|re.findall:0.072
371,Linguistic Analysis,standard,-1.0,0,re.findall:0.092|re.findall:0.078|re.findall:0.074
372,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|re.findall:0.092|re.findall:0.078
373,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|re.findall:0.092
374,Linguistic Analysis,standard,-1.0,0,re.findall:0.083|re.findall:0.078|re.findall:0.072
375,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|re.findall:0.083|re.findall:0.078
376,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|re.findall:0.083
377,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
378,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
379,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
380,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.063|textblob.TextBlob:0.063|textblob.TextBlob:0.063
381,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.063|textblob.TextBlob:0.063
382,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.084|textblob.TextBlob:0.061|textblob.TextBlob:0.061
383,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.084|textblob.TextBlob:0.069|textblob.TextBlob:0.065
384,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.084|textblob.TextBlob:0.069
385,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.084
386,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
387,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.076|textblob.TextBlob:0.076|textblob.TextBlob:0.072
388,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.085|textblob.TextBlob:0.081|textblob.TextBlob:0.073
389,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.100|textblob.TextBlob:0.084|textblob.TextBlob:0.079
390,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.084
391,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
392,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
393,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
394,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.088|textblob.TextBlob:0.072|textblob.TextBlob:0.072
395,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.104|textblob.TextBlob:0.081|textblob.TextBlob:0.081
396,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.104|textblob.TextBlob:0.100|textblob.TextBlob:0.081
397,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.104|textblob.TextBlob:0.100|textblob.TextBlob:0.100
398,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.094|textblob.TextBlob:0.083|textblob.TextBlob:0.079
399,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.101|textblob.TextBlob:0.093|textblob.TextBlob:0.091
400,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.106|textblob.TextBlob:0.104|textblob.TextBlob:0.100
401,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.117|textblob.TextBlob:0.109|textblob.TextBlob:0.099
402,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.117|textblob.TextBlob:0.109|textblob.TextBlob:0.100
403,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.117|textblob.TextBlob:0.109|textblob.TextBlob:0.100
404,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.117|textblob.TextBlob:0.109|textblob.TextBlob:0.100
405,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.097|textblob.TextBlob:0.089|textblob.TextBlob:0.079
406,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.097|textblob.TextBlob:0.089
407,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.093|textblob.TextBlob:0.087|textblob.TextBlob:0.082
408,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.099|textblob.TextBlob:0.095|textblob.TextBlob:0.093
409,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.099|textblob.TextBlob:0.095
410,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.099
411,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.089|textblob.TextBlob:0.088|textblob.TextBlob:0.086
412,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.089|textblob.TextBlob:0.088
413,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.089
414,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.100|textblob.TextBlob:0.100
415,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.078|textblob.TextBlob:0.078|textblob.TextBlob:0.076
416,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.089|textblob.TextBlob:0.086|textblob.TextBlob:0.082
417,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.100|textblob.TextBlob:0.089|textblob.TextBlob:0.086
418,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.089|textblob.TextBlob:0.088|textblob.TextBlob:0.087
419,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.102|textblob.TextBlob:0.098|textblob.TextBlob:0.091
420,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.102|textblob.TextBlob:0.100|textblob.TextBlob:0.098
421,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.102|textblob.TextBlob:0.100|textblob.TextBlob:0.100
422,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.099|textblob.TextBlob:0.088|textblob.TextBlob:0.085
423,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.113|textblob.TextBlob:0.094|textblob.TextBlob:0.091
424,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.128|textblob.TextBlob:0.101|textblob.TextBlob:0.093
425,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.128|textblob.TextBlob:0.101|textblob.TextBlob:0.100
426,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.129|textblob.TextBlob:0.096|textblob.TextBlob:0.093
427,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.133|textblob.TextBlob:0.106|textblob.TextBlob:0.096
428,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.133|textblob.TextBlob:0.121|textblob.TextBlob:0.098
429,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.139|textblob.TextBlob:0.126|textblob.TextBlob:0.105
430,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.139|textblob.TextBlob:0.126|textblob.TextBlob:0.105
431,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.139|textblob.TextBlob:0.126|textblob.TextBlob:0.105
432,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.135|textblob.TextBlob:0.093|textblob.TextBlob:0.092
433,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.135|textblob.TextBlob:0.100|textblob.TextBlob:0.093
434,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.135|textblob.TextBlob:0.100|textblob.TextBlob:0.100
435,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.127|textblob.TextBlob:0.094|textblob.TextBlob:0.090
436,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.127|textblob.TextBlob:0.100|textblob.TextBlob:0.094
437,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.127|textblob.TextBlob:0.100|textblob.TextBlob:0.100
438,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.113|textblob.TextBlob:0.097|textblob.TextBlob:0.087
439,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.121|textblob.TextBlob:0.118|textblob.TextBlob:0.095
440,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.138|textblob.TextBlob:0.118|textblob.TextBlob:0.111
441,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.146|textblob.TextBlob:0.132|textblob.TextBlob:0.115
442,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.152|textblob.TextBlob:0.146|textblob.TextBlob:0.128
443,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.162|textblob.TextBlob:0.156|textblob.TextBlob:0.130
444,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.181|textblob.TextBlob:0.163|textblob.TextBlob:0.134
445,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.202|textblob.TextBlob:0.168|textblob.TextBlob:0.137
446,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.202|textblob.TextBlob:0.168|textblob.TextBlob:0.137
447,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.202|textblob.TextBlob:0.168|textblob.TextBlob:0.137
448,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.184|textblob.TextBlob:0.137|textblob.TextBlob:0.113
449,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.183|textblob.TextBlob:0.130|textblob.TextBlob:0.119
450,Linguistic Analysis,standard,-1.0,0,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
451,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
452,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
453,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
454,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
455,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
456,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
457,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
458,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
459,Linguistic Analysis,standard,1.0,1,textblob.TextBlob:0.178|textblob.TextBlob:0.150|textblob.TextBlob:0.146
460,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.094|textblob.TextBlob:0.087|textblob.TextBlob:0.081
461,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.106|textblob.TextBlob:0.091|textblob.TextBlob:0.066
462,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.113|textblob.TextBlob:0.089|textblob.TextBlob:0.078
463,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.115|textblob.TextBlob:0.094|textblob.TextBlob:0.084
464,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.118|textblob.TextBlob:0.111|textblob.TextBlob:0.089
465,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.130|textblob.TextBlob:0.119|textblob.TextBlob:0.097
466,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.148|textblob.TextBlob:0.111|textblob.TextBlob:0.109
467,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.165|textblob.TextBlob:0.122|textblob.TextBlob:0.105
468,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.177|textblob.TextBlob:0.137|textblob.TextBlob:0.115
469,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.189|textblob.TextBlob:0.153|textblob.TextBlob:0.122
470,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.199|textblob.TextBlob:0.161|textblob.TextBlob:0.131
471,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.204|textblob.TextBlob:0.168|textblob.TextBlob:0.136
472,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.207|textblob.TextBlob:0.177|textblob.TextBlob:0.138
473,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.205|textblob.TextBlob:0.187|textblob.TextBlob:0.143
474,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.201|textblob.TextBlob:0.196|textblob.TextBlob:0.150
475,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.220|textblob.TextBlob:0.181|textblob.TextBlob:0.161
476,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.247|textblob.TextBlob:0.171|textblob.TextBlob:0.166
477,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.276|textblob.TextBlob:0.185|textblob.TextBlob:0.151
478,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.304|textblob.TextBlob:0.201|textblob.TextBlob:0.133
479,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.325|textblob.TextBlob:0.216|textblob.TextBlob:0.118
480,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.345|textblob.TextBlob:0.228|textblob.TextBlob:0.104
481,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.362|textblob.TextBlob:0.240|textblob.TextBlob:0.091
482,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.381|textblob.TextBlob:0.245|textblob.TextBlob:0.080
483,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.405|textblob.TextBlob:0.246|textblob.TextBlob:0.075
484,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.434|textblob.TextBlob:0.239|textblob.TextBlob:0.077
485,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.468|textblob.TextBlob:0.231|textblob.TextBlob:0.074
486,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.508|textblob.TextBlob:0.219|textblob.TextBlob:0.069
487,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.558|textblob.TextBlob:0.200|textblob.TextBlob:0.063
488,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.616|textblob.TextBlob:0.175|textblob.TextBlob:0.055
489,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.682|textblob.TextBlob:0.145|textblob.TextBlob:0.046
490,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.752|textblob.TextBlob:0.111|textblob.TextBlob:0.036
491,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.820|textblob.TextBlob:0.078|textblob.TextBlob:0.027
492,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.877|textblob.TextBlob:0.051|textblob.TextBlob:0.019
493,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.920|textblob.TextBlob:0.031|textblob.TextBlob:0.012
494,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.949|textblob.TextBlob:0.018|textblob.TextBlob:0.008
495,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.968|textblob.TextBlob:0.010|textblob.TextBlob:0.006
496,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.980|textblob.TextBlob:0.005|textblob.TextBlob:0.005
497,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.988|textblob.TextBlob:0.004|textblob.TextBlob:0.003
498,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.992|textblob.TextBlob:0.003|textblob.TextBlob:0.002
499,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.995|textblob.TextBlob:0.003|textblob.TextBlob:0.001
500,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.997|textblob.TextBlob:0.002|textblob.TextBlob:0.000
501,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.998|textblob.TextBlob:0.002|textblob.TextBlob:0.000
502,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.998|textblob.TextBlob:0.001|textblob.TextBlob:0.000
503,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.999|textblob.TextBlob:0.001
504,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.999|textblob.TextBlob:0.001
505,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:0.999|textblob.TextBlob:0.001
506,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000|textblob.TextBlob:0.000
507,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000|textblob.TextBlob:0.000
508,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000|textblob.TextBlob:0.000
509,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
510,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
511,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
512,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
513,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
514,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
515,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
516,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
517,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
518,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
519,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
520,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
521,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
522,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
523,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
524,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
525,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
526,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
527,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
528,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
529,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
530,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
531,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
532,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
533,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
534,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
535,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
536,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
537,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
538,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
539,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
540,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
541,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
542,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
543,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
544,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
545,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
546,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
547,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
548,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
549,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
550,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
551,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
552,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
553,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
554,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
555,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
556,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
557,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
558,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
559,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
560,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
561,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
562,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
563,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
564,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
565,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
566,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
567,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
568,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
569,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
570,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
571,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
572,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
573,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
574,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
575,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
576,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
577,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
578,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
579,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
580,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
581,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
582,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
583,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
584,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
585,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
586,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
587,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
588,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
589,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
590,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
591,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
592,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
593,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
594,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
595,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
596,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
597,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
598,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
599,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
600,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
601,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
602,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
603,phase_online_linguistics.json,standard,-1.0,0,textblob.TextBlob:1.000
